opportunity_id,machine,timestamp,original_direction,counter_direction,setup,reasonKey,grade,signal_price,atr,original_hit_1R,original_hit_1R_at_min,counter_mfe_R_5m,counter_mae_R_5m,counter_mfe_R_10m,counter_mae_R_10m,counter_mfe_R_15m,counter_mae_R_15m,counter_mfe_R_30m,counter_mae_R_30m,counter_mfe_R_60m,counter_mae_R_60m,counter_time_to_+0.2R_min,counter_time_to_+0.3R_min,counter_time_to_+0.5R_min,counter_time_to_-0.2R_min,counter_time_to_-0.3R_min,counter_time_to_-0.5R_min,sequence_0.2R_vs_0.2R,sequence_0.3R_vs_0.3R,sequence_0.5R_vs_0.5R,counter_max_MFE_R,counter_max_MAE_R,execution_note
MAC_20260630032148_SELL_TREND_PULLBACK,MAC,2026.06.30 03:21:48,SELL,BUY,TREND_PULLBACK,A+ EVIDENCE DEMOTION,A,4008.41,4.37,N,,0.008,0.284,0.008,0.7,0.008,1.0,0.008,1.588,0.008,5.032,,,,5,10,10,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.008,5.032,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260630032514_SELL_TREND_PULLBACK,MAC,2026.06.30 03:25:14,SELL,BUY,TREND_PULLBACK,BAD-LOCATION BLOCK,A,4008.33,4.48,N,,0.0,0.272,0.0,0.676,0.0,0.968,0.0,2.048,0.0,4.904,,,,5,10,10,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,4.904,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260708081514_SELL_TREND_PULLBACK,VPS,2026.07.08 08:15:14,SELL,BUY,TREND_PULLBACK,TRUE-LATE BLOCK,A,4118.81,4.65,N,,0.0,1.916,0.0,2.864,0.0,3.456,0.0,4.852,,,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,4.852,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260707210016_SELL_TREND_PULLBACK,MAC,2026.07.07 21:00:16,SELL,BUY,TREND_PULLBACK,Personality mismatch,PERSONALITY,4145.04,2.39,N,,0.0,0.42,0.0,0.668,0.0,0.668,0.0,0.976,0.0,4.188,,,,5,5,10,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,4.188,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260630030613_SELL_TREND_PULLBACK,MAC,2026.06.30 03:06:13,SELL,BUY,TREND_PULLBACK,ANALYSIS-ONLY,A+,4006.91,3.7,N,,0.36,0.0,0.36,0.0,0.36,0.0,0.36,0.664,0.36,4.168,5,5,,30,30,30,TARGET_FIRST,TARGET_FIRST,STOP_FIRST,0.36,4.168,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707185013_SELL_BREAKOUT,VPS,2026.07.07 18:50:13,SELL,BUY,BREAKOUT,Personality mismatch,PERSONALITY,4134.99,3.38,N,,0.0,0.956,0.0,1.064,0.0,1.692,0.0,4.164,0.0,4.164,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,4.164,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260605153512_SELL_BREAKOUT,MAC,2026.06.05 15:35:12,SELL,BUY,BREAKOUT,SMART-GUARD,A+,4453.07,6.0,N,,0.0,0.54,0.0,0.54,0.0,2.356,0.0,3.536,0.0,4.068,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,4.068,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260702153016_BUY_TREND_PULLBACK,MAC,2026.07.02 15:30:16,BUY,SELL,TREND_PULLBACK,B-GRADE QUALITY BLOCK,B,4090.92,4.96,N,,0.0,3.944,0.0,3.944,0.0,3.944,0.0,3.944,0.0,3.944,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.944,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260630033653_SELL_TREND_PULLBACK,MAC,2026.06.30 03:36:53,SELL,BUY,TREND_PULLBACK,AI DIRECTOR BLOCK,A+,4000.59,4.86,N,,0.0,0.732,0.0,0.732,0.0,0.784,0.0,2.656,0.0,3.88,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.88,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260604140012_BUY_TREND_PULLBACK,MAC,2026.06.04 14:00:12,BUY,SELL,TREND_PULLBACK,BAD-RR TIMING BLOCK,A,4474.9,3.81,N,,0.292,0.0,0.292,0.188,0.292,0.188,0.292,1.456,0.292,3.86,5,,,30,30,30,TARGET_FIRST,STOP_FIRST,STOP_FIRST,0.292,3.86,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260707162535_SELL_TREND_PULLBACK,VPS,2026.07.07 16:25:35,SELL,BUY,TREND_PULLBACK,Personality mismatch,PERSONALITY,4145.04,4.45,N,,0.0,0.38,0.0,0.596,0.0,0.596,0.0,0.916,0.0,3.752,,,,5,5,10,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.752,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260703034515_BUY_TREND_PULLBACK,MAC,2026.07.03 03:45:15,BUY,SELL,TREND_PULLBACK,BAD-LOCATION BLOCK,B,4136.2,6.41,N,,0.0,0.268,0.0,0.964,0.0,1.56,0.0,2.78,0.0,3.66,,,,5,10,10,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.66,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260605154512_SELL_SQUEEZE_RELEASE,MAC,2026.06.05 15:45:12,SELL,BUY,SQUEEZE_RELEASE,BAD-LOCATION BLOCK,B,4445.68,6.86,N,,0.0,1.632,0.0,2.66,0.0,2.66,0.0,2.66,0.0,3.604,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.604,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
VPS_20260708072515_SELL_TREND_PULLBACK,VPS,2026.07.08 07:25:15,SELL,BUY,TREND_PULLBACK,FAILED-IMPULSE BLOCK,A,4118.83,3.72,N,,0.152,0.0,0.464,0.0,0.8,0.0,0.8,0.0,0.8,3.584,10,10,15,60,60,60,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,0.8,3.584,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260604135512_BUY_TREND_PULLBACK,MAC,2026.06.04 13:55:12,BUY,SELL,TREND_PULLBACK,LATE-CHASE ENTRY BLOCK,A,4470.97,3.84,N,,0.0,0.412,0.0,0.412,0.0,0.596,0.0,0.84,0.0,3.552,,,,5,5,15,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.552,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260703031518_BUY_BREAKOUT,MAC,2026.07.03 03:15:18,BUY,SELL,BREAKOUT,NEWS_ENTRY_BLOCKED_POOR_RR,B,4133.47,5.75,N,,0.0,0.368,0.0,0.368,0.0,0.368,0.0,0.488,0.0,3.288,,,,5,5,60,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.288,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260612103012_BUY_TREND_PULLBACK,MAC,2026.06.12 10:30:12,BUY,SELL,TREND_PULLBACK,SMART-GUARD,SKIP,4174.44,5.33,N,,0.0,0.008,0.0,0.456,0.0,0.656,0.0,1.348,0.0,3.284,,,,10,10,15,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.284,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260624150512_SELL_TREND_PULLBACK,MAC,2026.06.24 15:05:12,SELL,BUY,TREND_PULLBACK,LATE-CHASE ENTRY BLOCK,A,4044.37,7.34,N,,0.0,0.316,0.0,0.316,0.0,0.316,0.0,1.596,0.0,3.26,,,,5,5,30,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.26,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260610233720_SELL_SQUEEZE_RELEASE,MAC,2026.06.10 23:37:20,SELL,BUY,SQUEEZE_RELEASE,BAD-LOCATION BLOCK,A,4082.72,5.63,N,,0.008,0.0,0.008,0.0,0.008,0.816,0.008,2.104,0.008,3.256,,,,15,15,15,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.008,3.256,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260624150012_SELL_TREND_PULLBACK,MAC,2026.06.24 15:00:12,SELL,BUY,TREND_PULLBACK,NEWS_AFTERMATH,A+,4046.77,7.35,N,,0.0,0.132,0.0,0.444,0.0,0.444,0.0,1.724,0.0,3.24,,,,10,10,30,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.24,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260703030518_BUY_BREAKOUT,MAC,2026.07.03 03:05:18,BUY,SELL,BREAKOUT,NEWS_OBSERVING,A,4132.28,4.81,N,,0.328,0.14,0.328,0.292,0.328,0.54,0.328,0.54,0.328,3.216,5,5,,10,15,15,TARGET_FIRST,TARGET_FIRST,STOP_FIRST,0.328,3.216,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260619065513_SELL_TREND_PULLBACK,MAC,2026.06.19 06:55:13,SELL,BUY,TREND_PULLBACK,BAD-LOCATION BLOCK,B,4158.9,4.31,N,,0.0,1.368,0.0,1.368,0.0,1.368,0.0,1.368,0.0,3.212,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.212,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260701220516_SELL_SQUEEZE_RELEASE,MAC,2026.07.01 22:05:16,SELL,BUY,SQUEEZE_RELEASE,FAILED-IMPULSE BLOCK,B,4066.24,3.46,N,,0.076,0.0,0.076,0.076,0.076,1.044,0.076,1.2,0.076,3.168,,,,15,15,15,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.076,3.168,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260612102012_BUY_TREND_PULLBACK,MAC,2026.06.12 10:20:12,BUY,SELL,TREND_PULLBACK,B-GRADE QUALITY BLOCK,B,4177.73,5.2,N,,0.012,0.0,0.26,0.0,0.26,0.0,0.26,0.42,0.26,3.112,10,,,30,30,60,TARGET_FIRST,STOP_FIRST,STOP_FIRST,0.26,3.112,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260605155000_SELL_BREAKOUT,MAC,2026.06.05 15:50:00,SELL,BUY,BREAKOUT,BAD-RR TIMING BLOCK,A,4440.09,7.25,N,,0.0,1.236,0.0,2.208,0.0,2.208,0.0,2.208,0.0,3.1,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.1,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260701033517_SELL_SQUEEZE_RELEASE,MAC,2026.07.01 03:35:17,SELL,BUY,SQUEEZE_RELEASE,BAD-LOCATION BLOCK,A,4003.44,3.55,N,,0.0,0.8,0.0,0.8,0.0,0.952,0.0,2.232,0.0,3.08,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.08,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260702142514_BUY_TREND_PULLBACK,MAC,2026.07.02 14:25:14,BUY,SELL,TREND_PULLBACK,B-GRADE QUALITY BLOCK,B,4064.74,3.93,N,,0.0,0.492,0.0,0.648,0.0,0.648,0.104,0.648,0.104,3.06,,,,5,5,10,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.104,3.06,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260604142512_BUY_BREAKOUT,MAC,2026.06.04 14:25:12,BUY,SELL,BREAKOUT,B-GRADE QUALITY BLOCK,B,4479.11,4.26,N,,0.0,0.908,0.0,0.908,0.0,1.356,0.0,2.436,0.0,3.056,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,3.056,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260703032013_BUY_BREAKOUT,MAC,2026.07.03 03:20:13,BUY,SELL,BREAKOUT,Personality mismatch,PERSONALITY,4135.83,5.9,N,,0.0,0.2,0.0,0.2,0.052,0.2,0.052,0.316,0.052,3.048,,,,5,30,60,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.052,3.048,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260708091014_SELL_TREND_PULLBACK,MAC,2026.07.08 09:10:14,SELL,BUY,TREND_PULLBACK,SMART-GUARD,SKIP,4124.75,4.48,N,,0.596,0.0,0.596,0.0,0.596,0.48,0.596,2.992,0.596,2.992,5,5,5,15,15,30,TARGET_FIRST,TARGET_FIRST,TARGET_FIRST,0.596,2.992,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260630034529_SELL_BREAKOUT,MAC,2026.06.30 03:45:29,SELL,BUY,BREAKOUT,AI DIRECTOR BLOCK,A+,3991.89,5.23,N,,0.068,0.06,0.068,0.496,0.068,1.8,0.068,2.94,0.068,2.94,,,,10,10,15,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.068,2.94,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260603071512_SELL_TREND_PULLBACK,MAC,2026.06.03 07:15:12,SELL,BUY,TREND_PULLBACK,B-GRADE QUALITY BLOCK,B,4487.03,2.41,N,,0.0,0.888,0.0,1.068,0.0,1.672,0.0,2.42,0.0,2.932,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,2.932,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260615105012_BUY_TREND_PULLBACK,MAC,2026.06.15 10:50:12,BUY,SELL,TREND_PULLBACK,B-GRADE QUALITY BLOCK,B,4313.95,4.07,N,,0.0,0.864,0.0,0.932,0.0,1.448,0.0,1.592,0.0,2.928,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,2.928,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260630035015_SELL_SQUEEZE_RELEASE,MAC,2026.06.30 03:50:15,SELL,BUY,SQUEEZE_RELEASE,A+ EVIDENCE DEMOTION,A,3992.28,5.36,N,,0.0,0.088,0.0,1.788,0.0,1.792,0.0,2.896,0.0,2.896,,,,10,10,10,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,2.896,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260624145512_SELL_TREND_PULLBACK,MAC,2026.06.24 14:55:12,SELL,BUY,TREND_PULLBACK,FAILED-IMPULSE BLOCK,A,4053.09,7.0,N,,0.0,0.344,0.0,0.5,0.0,0.828,0.0,2.096,0.0,2.88,,,,5,5,10,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,2.88,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260701032450_SELL_TREND_PULLBACK,MAC,2026.07.01 03:24:50,SELL,BUY,TREND_PULLBACK,ANALYSIS-ONLY,A+,4004.57,3.23,N,,0.0,0.228,0.0,0.228,0.0,0.472,0.0,1.184,0.0,2.832,,,,5,15,30,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,2.832,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260625023557_SELL_TREND_PULLBACK,MAC,2026.06.25 02:35:57,SELL,BUY,TREND_PULLBACK,A+ EVIDENCE DEMOTION,A,4013.32,4.41,N,,0.38,0.0,0.38,0.032,0.38,0.248,0.38,0.288,0.38,2.82,5,5,,15,60,60,TARGET_FIRST,TARGET_FIRST,STOP_FIRST,0.38,2.82,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260703035519_BUY_BREAKOUT,MAC,2026.07.03 03:55:19,BUY,SELL,BREAKOUT,Trade blocked — spread,B,4148.24,6.65,N,,0.0,0.78,0.0,1.368,0.0,1.76,0.0,2.644,0.0,2.808,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,2.808,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260608033512_SELL_TREND_PULLBACK,MAC,2026.06.08 03:35:12,SELL,BUY,TREND_PULLBACK,ANTI-BIAS BLOCK,B,4348.76,5.1,N,,0.0,0.176,0.0,0.26,0.0,0.464,0.0,0.876,0.0,2.804,,,,10,15,30,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,2.804,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260625024513_SELL_TREND_PULLBACK,MAC,2026.06.25 02:45:13,SELL,BUY,TREND_PULLBACK,ANTI-BIAS BLOCK,A,4017.55,5.04,N,,0.0,0.552,0.0,0.584,0.0,0.584,0.0,1.252,0.0,2.8,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,2.8,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260701215015_SELL_TREND_PULLBACK,MAC,2026.07.01 21:50:15,SELL,BUY,TREND_PULLBACK,A+ EVIDENCE DEMOTION,A,4061.77,3.08,N,,0.0,0.296,0.2,0.296,0.668,0.296,0.668,0.592,0.668,2.792,10,15,15,5,30,30,STOP_FIRST,TARGET_FIRST,TARGET_FIRST,0.668,2.792,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260707205514_SELL_TREND_PULLBACK,MAC,2026.07.07 20:55:14,SELL,BUY,TREND_PULLBACK,SMART-GUARD,SKIP,4143.81,2.56,N,,0.18,0.0,0.18,0.2,0.18,0.428,0.18,0.428,0.18,2.788,,,,10,15,60,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.18,2.788,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260629010013_SELL_TREND_PULLBACK,MAC,2026.06.29 01:00:13,SELL,BUY,TREND_PULLBACK,SMART-GUARD,A+,4080.09,3.22,N,,0.0,0.588,0.0,1.616,0.0,2.712,0.0,2.76,0.0,2.76,,,,5,5,5,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,2.76,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260707215512_SELL_BREAKOUT,MAC,2026.07.07 21:55:12,SELL,BUY,BREAKOUT,Personality mismatch,PERSONALITY,4126.63,3.88,N,,0.0,0.072,0.0,0.68,0.0,1.596,0.0,2.748,0.0,2.748,,,,10,10,10,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,2.748,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260701033020_SELL_TREND_PULLBACK,MAC,2026.07.01 03:30:20,SELL,BUY,TREND_PULLBACK,STI_REENTRY_WAIT ,A+,4002.66,3.46,N,,0.124,0.216,0.124,0.732,0.124,0.732,0.124,1.812,0.124,2.716,,,,5,10,10,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.124,2.716,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
MAC_20260701030028_SELL_TREND_PULLBACK,MAC,2026.07.01 03:00:28,SELL,BUY,TREND_PULLBACK,AI DIRECTOR BLOCK,A+,4007.2,3.02,N,,0.0,0.312,0.0,0.468,0.0,0.596,0.0,0.596,0.0,2.676,,,,5,5,15,STOP_FIRST,STOP_FIRST,STOP_FIRST,0.0,2.676,MIRRORED from original's own advATR/favATR at same real price path; does NOT include the extra spread cost of crossing to the opposite bid/ask side at entry (see report methodology note)
